"gene","y","n","study","cancer"
"TP53",347,1084,"brca_tcga_pan_can_atlas_2018","brca"
"KRAS",6,1084,"brca_tcga_pan_can_atlas_2018","brca"
"PIK3CA",347,1084,"brca_tcga_pan_can_atlas_2018","brca"
"BRAF",7,1084,"brca_tcga_pan_can_atlas_2018","brca"
"PTEN",58,1084,"brca_tcga_pan_can_atlas_2018","brca"
"APC",14,1084,"brca_tcga_pan_can_atlas_2018","brca"
"ARID1A",40,1084,"brca_tcga_pan_can_atlas_2018","brca"
"EGFR",15,1084,"brca_tcga_pan_can_atlas_2018","brca"
"IDH1",6,1084,"brca_tcga_pan_can_atlas_2018","brca"
"CDKN2A",0,1084,"brca_tcga_pan_can_atlas_2018","brca"
"TP53",295,566,"luad_tcga_pan_can_atlas_2018","luad"
"KRAS",168,566,"luad_tcga_pan_can_atlas_2018","luad"
"PIK3CA",28,566,"luad_tcga_pan_can_atlas_2018","luad"
"BRAF",41,566,"luad_tcga_pan_can_atlas_2018","luad"
"PTEN",10,566,"luad_tcga_pan_can_atlas_2018","luad"
"APC",34,566,"luad_tcga_pan_can_atlas_2018","luad"
"ARID1A",35,566,"luad_tcga_pan_can_atlas_2018","luad"
"EGFR",70,566,"luad_tcga_pan_can_atlas_2018","luad"
"IDH1",6,566,"luad_tcga_pan_can_atlas_2018","luad"
"CDKN2A",25,566,"luad_tcga_pan_can_atlas_2018","luad"
"TP53",404,487,"lusc_tcga_pan_can_atlas_2018","lusc"
"KRAS",7,487,"lusc_tcga_pan_can_atlas_2018","lusc"
"PIK3CA",53,487,"lusc_tcga_pan_can_atlas_2018","lusc"
"BRAF",15,487,"lusc_tcga_pan_can_atlas_2018","lusc"
"PTEN",51,487,"lusc_tcga_pan_can_atlas_2018","lusc"
"APC",27,487,"lusc_tcga_pan_can_atlas_2018","lusc"
"ARID1A",32,487,"lusc_tcga_pan_can_atlas_2018","lusc"
"EGFR",14,487,"lusc_tcga_pan_can_atlas_2018","lusc"
"IDH1",3,487,"lusc_tcga_pan_can_atlas_2018","lusc"
"CDKN2A",73,487,"lusc_tcga_pan_can_atlas_2018","lusc"
"TP53",72,448,"skcm_tcga_pan_can_atlas_2018","skcm"
"KRAS",10,448,"skcm_tcga_pan_can_atlas_2018","skcm"
"PIK3CA",22,448,"skcm_tcga_pan_can_atlas_2018","skcm"
"BRAF",233,448,"skcm_tcga_pan_can_atlas_2018","skcm"
"PTEN",44,448,"skcm_tcga_pan_can_atlas_2018","skcm"
